Airport,State,Flight_Phase,Height,Speed,Distance
SAN FRANCISCO INTL ARPT,CA,DEPARTURE,,,0.0
CHICAGO O'HARE INTL ARPT,IL,ARRIVAL,,,0.0
CHICAGO O'HARE INTL ARPT,IL,DEPARTURE,,,0.0
CHICAGO O'HARE INTL ARPT,IL,DEPARTURE,,,0.0
CHICAGO O'HARE INTL ARPT,IL,DEPARTURE,,,0.0
CHICAGO O'HARE INTL ARPT,IL,DEPARTURE,,,0.0
CHICAGO O'HARE INTL ARPT,IL,ARRIVAL,,,0.0
CHICAGO O'HARE INTL ARPT,IL,,,,0.0
CHICAGO O'HARE INTL ARPT,IL,,0,,0.0
CHICAGO O'HARE INTL ARPT,IL,,,,0.0
CHICAGO O'HARE INTL ARPT,IL,,,,0.0
CHICAGO O'HARE INTL ARPT,IL,,,,0.0
CHICAGO O'HARE INTL ARPT,IL,,,,0.0
CHICAGO O'HARE INTL ARPT,IL,ARRIVAL,,,0.0
CHICAGO O'HARE INTL ARPT,IL,ARRIVAL,,,0.0
CHICAGO O'HARE INTL ARPT,IL,,,,0.0
CHICAGO O'HARE INTL ARPT,IL,DEPARTURE,,,0.0
CHICAGO O'HARE INTL ARPT,IL,DEPARTURE,,,0.0
CHICAGO O'HARE INTL ARPT,IL,ARRIVAL,,,0.0
CHICAGO O'HARE INTL ARPT,IL,,0,,0.0
CHICAGO O'HARE INTL ARPT,IL,DEPARTURE,,,0.0
CHICAGO O'HARE INTL ARPT,IL,DEPARTURE,,,0.0
CHICAGO O'HARE INTL ARPT,IL,ARRIVAL,,,0.0
CHICAGO O'HARE INTL ARPT,IL,,,,0.0
CHICAGO O'HARE INTL ARPT,IL,LOCAL,,,0.0
CHICAGO O'HARE INTL ARPT,IL,ARRIVAL,,,0.0
NEWARK LIBERTY INTL ARPT,NJ,,,,0.0
NEWARK LIBERTY INTL ARPT,NJ,,,,0.0
NEWARK LIBERTY INTL ARPT,NJ,,,,0.0
NEWARK LIBERTY INTL ARPT,NJ,,6000,240,30.0
NEWARK LIBERTY INTL ARPT,NJ,,,,0.0
CHARLOTTE/DOUGLAS INTL ARPT,NC,LOCAL,15,140,0.0
CHARLOTTE/DOUGLAS INTL ARPT,NC,,50,144,0.0
CLEVELAND-HOPKINS INTL ARPT,OH,,,,0.0
CLEVELAND-HOPKINS INTL ARPT,OH,LOCAL,,,0.0
CLEVELAND-HOPKINS INTL ARPT,OH,ARRIVAL,,,0.0
CLEVELAND-HOPKINS INTL ARPT,OH,,,,0.0
DALLAS/FORT WORTH INTL ARPT,TX,,0,,0.0
DALLAS/FORT WORTH INTL ARPT,TX,ARRIVAL,,,0.0
DALLAS/FORT WORTH INTL ARPT,TX,ARRIVAL,,,0.0
DALLAS/FORT WORTH INTL ARPT,TX,ARRIVAL,,,0.0
DALLAS/FORT WORTH INTL ARPT,TX,DEPARTURE,,,0.0
DALLAS/FORT WORTH INTL ARPT,TX,DEPARTURE,14000,,49.0
DALLAS/FORT WORTH INTL ARPT,TX,,0,120,0.0
DALLAS/FORT WORTH INTL ARPT,TX,LOCAL,0,120,0.0
DALLAS/FORT WORTH INTL ARPT,TX,ARRIVAL,,,0.0
WASHINGTON DULLES INTL ARPT,DC,,,,0.0
WASHINGTON DULLES INTL ARPT,DC,,,,0.0
WASHINGTON DULLES INTL ARPT,DC,DEPARTURE,,,0.0
WASHINGTON DULLES INTL ARPT,DC,DEPARTURE,,,0.0
WASHINGTON DULLES INTL ARPT,DC,DEPARTURE,,,0.0
WASHINGTON DULLES INTL ARPT,DC,,0,,0.0
WASHINGTON DULLES INTL ARPT,DC,DEPARTURE,,,0.0
WASHINGTON DULLES INTL ARPT,DC,PARKED,0,0,0.0
WASHINGTON DULLES INTL ARPT,DC,LOCAL,,,0.0
PHOENIX SKY HARBOR INTL ARPT,AZ,PARKED,0,0,0.0
FORT LAUDERDALE/HOLLYWOOD INTL,FL,DEPARTURE,,,0.0
FORT LAUDERDALE/HOLLYWOOD INTL,FL,,,,0.0
FORT LAUDERDALE/HOLLYWOOD INTL,FL,PARKED,0,0,0.0
FORT LAUDERDALE/HOLLYWOOD INTL,FL,PARKED,0,0,0.0
